118	Jerryd Bayless	PHI	28	3	1	2	23.8	11.0	3.7	10.7	34.4	0.7	1.7	40.0	3.0	3.3	90.0	1.0	3.0	4.0	4.3	3.0	0.0	0.0	1.3	0	0	-7.0
119	Aaron Gordon	ORL	21	36	16	20	26.2	11.0	4.3	9.9	43.1	1.1	3.3	31.9	1.4	2.1	63.6	1.2	3.2	4.4	1.7	1.1	0.8	0.5	2.0	1	0	-1.8
120	Terrence Ross	TOR	25	33	22	11	20.9	10.9	4.1	8.8	47.1	1.8	4.2	41.4	0.9	1.1	88.6	0.3	2.1	2.4	0.6	0.5	1.1	0.3	1.5	0	0	5.2
121	Draymond Green	GSW	26	33	28	5	32.9	10.9	4.0	8.9	45.1	1.2	3.5	33.0	1.8	2.7	67.0	1.7	7.0	8.6	7.5	2.3	2.1	1.2	3.0	12	2	10.7
122	Justise Winslow	MIA	20	18	4	14	34.7	10.9	4.4	12.6	35.4	0.4	1.9	20.0	1.6	2.6	61.7	1.3	3.9	5.2	3.7	1.8	1.4	0.3	2.9	1	0	-0.3
123	CJ Miles	IND	29	30	15	15	22.2	10.8	3.7	8.5	43.4	2.0	4.9	40.4	1.5	1.6	91.7	0.3	2.7	3.0	0.7	0.5	0.7	0.5	1.9	0	0	1.8
124	Cody Zeller	CHA	24	31	19	12	26.1	10.7	4.2	7.1	59.5	0.0	0.0	0.0	2.3	3.5	65.1	2.1	4.1	6.2	1.5	1.1	0.7	1.1	3.2	2	0	5.2
125	Jahlil Okafor	PHI	21	28	7	21	22.4	10.7	4.6	8.9	51.2	0.0	0.0	0.0	1.5	2.6	59.7	1.6	3.3	4.8	1.1	1.4	0.4	1.1	2.5	1	0	-6.6
126	Patty Mills	SAS	28	35	28	7	22.5	10.5	3.7	7.7	48.0	1.9	4.4	43.5	1.2	1.3	93.2	0.3	1.5	1.9	3.5	1.4	0.9	0.0	1.5	0	0	5.9
127	Terrence Jones	NOP	24	34	13	21	24.1	10.4	4.1	8.8	46.0	0.3	1.5	21.2	2.0	3.2	61.5	1.1	4.6	5.7	1.1	1.0	0.7	1.0	1.2	3	0	-0.2
128	Gorgui Dieng	MIN	26	35	11	24	32.8	10.4	4.4	8.4	52.6	0.1	0.4	28.6	1.5	1.9	76.5	2.4	5.4	7.9	2.1	1.7	1.0	1.3	3.5	5	0	-0.5
129	Troy Daniels	MEM	25	26	13	13	20.2	10.4	3.5	8.8	40.0	2.3	5.7	40.3	1.0	1.2	81.3	0.3	1.2	1.5	0.8	0.5	0.4	0.1	1.5	0	0	1.3
130	Seth Curry	DAL	26	31	10	21	26.6	10.3	3.9	8.9	44.4	1.6	4.2	39.5	0.8	1.0	77.4	0.4	1.8	2.2	3.0	1.1	1.2	0.1	1.7	0	0	-1.6
